Shortest distance over all runs
522.864633352661

K-value,Crossover Rate,Mutation Rate,Elite Size,Population Size,Generations
4,0.9,0.3,15,75,1000

Run 1 Seed,Run 2 Seed,Run 3 Seed,Run 4 Seed,Run 5 Seed
run1,run2,run3,run4,run5

,Run 1 Best Overall Distance, Run 1 Best Overall Path,Run 2 Best Overall Distance, Run 2 Best Overall Path,Run 3 Best Overall Distance, Run 3 Best Overall Path,Run 4 Best Overall Distance, Run 4 Best Overall Path,Run 5 Best Overall Distance, Run 5 Best Overall Path
,575.9691223535254,34 30 10 39 33 45 44 15 37 17 42 19 40 41 47 51 46 1 31 28 20 21 16 50 9 38 5 12 14 25 13 4 18 24 43 6 27 2 29 35 36 3 22 48 23 7 26 8 32 11 49 34 ,606.4529966789539,10 39 33 45 15 44 37 12 46 27 1 16 50 34 30 20 38 11 32 51 47 17 42 19 40 41 13 4 18 6 2 29 21 9 5 14 25 24 23 48 3 36 35 49 22 8 7 43 26 31 28 10 ,638.8255694109185,35 29 9 49 10 39 33 42 40 41 13 25 14 6 2 20 22 8 43 24 18 4 19 17 27 32 11 5 38 30 34 50 46 51 12 47 37 44 15 45 21 16 1 48 23 7 26 31 28 3 36 35 ,522.864633352661,7 43 24 14 25 18 47 4 17 45 15 37 33 39 10 21 29 2 1 11 5 44 42 19 40 41 13 12 16 50 34 30 9 49 38 46 51 27 48 8 26 31 28 3 36 35 20 22 32 6 23 7 ,588.3336974768768,29 21 16 38 5 37 15 44 17 12 46 51 27 1 22 8 7 26 31 28 50 36 35 20 4 41 19 40 13 25 24 43 14 42 45 33 39 10 9 3 34 30 49 47 18 6 23 48 32 11 2 29 

Generation,Run 1 Best Fitness,Run 1 Average Fitness,Run 2 Best Fitness,Run 2 Average Fitness,Run 3 Best Fitness,Run 3 Average Fitness,Run 4 Best Fitness,Run 4 Average Fitness,Run 5 Best Fitness,Run 5 Average Fitness
10,1304.2456574292448,1503.1055853669775,1281.9468220758022,1478.2938124780524,1271.6593355554714,1503.3957096833917,1294.5713683391753,1462.2764303742247,1303.8876608015466,1522.5713178931642,
11,1302.1100084112845,1480.0583546770379,1281.9468220758022,1462.5159512113269,1253.4436522491521,1444.5242270416636,1231.5537224918503,1456.7640081371746,1303.8876608015466,1516.2491375507084,
12,1295.1698773942792,1486.7147437213816,1281.9468220758022,1475.1201664930231,1253.4436522491521,1463.6071696869801,1231.5537224918503,1458.275224511564,1303.2915847775027,1490.9088064249588,
13,1295.1698773942792,1451.5416176496938,1281.9468220758022,1483.7398142725742,1253.4436522491521,1457.914019259893,1231.5537224918503,1416.39351052894,1291.4320074523491,1474.045010863086,
14,1266.686422580133,1441.4213894559575,1281.9468220758022,1474.5482205519074,1224.2114269794347,1449.692957786903,1231.5537224918503,1424.829282938176,1261.4976689047312,1466.4071513227502,
15,1266.686422580133,1476.8671549784342,1281.9468220758022,1457.5726111866713,1224.2114269794347,1433.9564505227215,1231.5537224918503,1416.2868214386226,1261.4976689047312,1483.4569678415373,
16,1266.686422580133,1475.5424033384354,1277.1545276314978,1453.4911922878084,1224.2114269794347,1456.8346831609433,1228.8331566929398,1370.9051628523891,1261.4976689047312,1486.2168193565994,
17,1266.686422580133,1473.426420760839,1205.5364639628458,1430.3744090153048,1224.2114269794347,1437.5174086040738,1216.562977705183,1359.7028037129458,1261.4976689047312,1453.0418353071402,
18,1257.8215982251184,1483.4413452579213,1205.5364639628458,1453.1169159538542,1224.2114269794347,1424.0503273694453,1216.562977705183,1337.9705007451814,1261.4976689047312,1473.3364380982073,
19,1257.8215982251184,1450.38220031462,1182.9467890627352,1420.0127113447566,1224.2114269794347,1395.5259729813242,1215.303909262137,1326.2672552507286,1242.2848495496733,1499.2845947791404,
